StNo,Station,Passgrs,Latit,Longit,RailCo,Line
532,横浜,1981075,35.46558375,139.6219675,東日本旅客鉄道,東海道線
533,武蔵中原,66364,35.58056,139.64213999999998,東日本旅客鉄道,南武線
534,武蔵境,150323,35.702,139.54390999999998,東日本旅客鉄道,中央線
535,武蔵大和,7200,35.756434999999996,139.44404,西武鉄道,多摩湖線
536,武蔵小山,48848,35.620509999999996,139.70447000000001,東京急行電鉄,目黒線
537,武蔵小杉,396579,35.57635833333333,139.66102283333333,東日本旅客鉄道,東海道線
538,武蔵小金井,113354,35.701035,139.50592999999998,東日本旅客鉄道,中央線
539,武蔵新城,63334,35.587415,139.62909,東日本旅客鉄道,南武線
540,武蔵新田,24041,35.567755000000005,139.692435,東京急行電鉄,東急多摩川線
541,武蔵浦和,92580,35.846085,139.64710250000002,東日本旅客鉄道,武蔵野線
542,武蔵溝ノ口,153548,35.598815,139.611375,東日本旅客鉄道,南武線
543,武蔵白石,0,35.50193,139.70653,東日本旅客鉄道,鶴見線
544,武蔵野台,24647,35.664135,139.511305,京王電鉄,京王線
545,武蔵関,28477,35.727615,139.576365,西武鉄道,新宿線
546,武里,16132,35.94908,139.77071,東武鉄道,伊勢崎線
547,水天宮前,69837,35.68256,139.78555,東京地下鉄,11号線半蔵門線
548,水道橋,207009,35.7024425,139.75455,東日本旅客鉄道,中央線
549,氷川台,36181,35.74962,139.66547,東京地下鉄,8号線有楽町線
550,永田,3078,35.8196575,139.78544499999998,東日本旅客鉄道,外房線
551,永田町,61823,35.67841666666667,139.73937166666667,東京地下鉄,11号線半蔵門線
552,永福町,30532,35.676225,139.64267,京王電鉄,井の頭線
553,汐留,54728,35.66448,139.7611275,東京都,12号線大江戸線
554,江北,7356,35.773785000000004,139.77034500000002,東京都,日暮里・舎人線
555,江古田,33535,35.737465,139.672785,西武鉄道,池袋線
556,江戸川,5294,35.737755,139.89629,京成電鉄,本線
557,江戸川台,24883,35.89723,139.91053,東武鉄道,野田線
558,江戸川橋,49843,35.709295,139.73413,東京地下鉄,8号線有楽町線
559,池ノ上,9450,35.66037,139.673455,京王電鉄,井の頭線
560,池上,33862,35.571925,139.70313,東京急行電鉄,池上線
561,池尻大橋,57594,35.650909999999996,139.68508,東京急行電鉄,田園都市線
562,池袋,2524933,35.73004642857143,139.71059714285713,東京地下鉄,8号線有楽町線
563,沼袋,19632,35.71916,139.66484,西武鉄道,新宿線
564,沼部,10249,35.58249,139.67317,東京急行電鉄,東急多摩川線
565,泉体育館,2608,35.718845,139.419565,多摩都市モノレール,多摩都市モノレール線
566,泉岳寺,175421,35.638130000000004,139.73973,東京都,1号線浅草線
567,洗足,14311,35.61009,139.69410499999998,東京急行電鉄,目黒線
568,洗足池,17710,35.599675000000005,139.690925,東京急行電鉄,池上線
569,津田山,7118,35.60365,139.60072,東日本旅客鉄道,南武線
570,津田沼,202654,35.69189,140.01961,東日本旅客鉄道,総武線
571,流山,2679,35.8558,139.90183000000002,流鉄,流山線
572,流山おおたかの森,110531,35.87192,139.92535750000002,東武鉄道,野田線
573,流山セントラルパーク,6000,35.85459,139.91518,首都圏新都市鉄道,常磐新線
574,流通センター,16535,35.581445,139.749185,東京モノレール,東京モノレール羽田線
575,浅草,230737,35.711531,139.796729,東武鉄道,伊勢崎線
576,浅草橋,158673,35.6974975,139.7854725,東日本旅客鉄道,総武線
577,浅野,0,35.497445,139.69571,東日本旅客鉄道,鶴見線
578,浜川崎,0,35.5100225,139.71365749999998,東日本旅客鉄道,南武線
579,浜松町,302960,35.65541,139.757125,東日本旅客鉄道,東海道線
580,浜田山,28364,35.681575,139.627575,京王電鉄,井の頭線
581,浜町,21193,35.68859,139.788125,東京都,10号線新宿線
582,浦和,157614,35.858565,139.657145,東日本旅客鉄道,東北線
583,浦和美園,11100,35.893675,139.727825,埼玉高速鉄道,埼玉高速鉄道線
584,浮間舟渡,38926,35.79106,139.692315,東日本旅客鉄道,東北線（埼京線）
585,海浜幕張,107544,35.648399999999995,140.041995,東日本旅客鉄道,京葉線
586,海神,4633,35.70592499999999,139.971785,京成電鉄,本線
587,海芝浦,0,35.48613,139.700675,東日本旅客鉄道,鶴見線
588,淡路町,51913,35.694869999999995,139.76745499999998,東京地下鉄,4号線丸ノ内線
589,清水公園,4102,35.958794999999995,139.86030499999998,東武鉄道,野田線
590,清澄白河,78858,35.682280000000006,139.79996,東京都,12号線大江戸線
591,清瀬,68756,35.7718,139.5205,西武鉄道,池袋線
592,渋谷,2470009,35.658848285714285,139.70160735714288,東京地下鉄,13号線副都心線
593,港町,3822,35.535065,139.71262000000002,京浜急行電鉄,大師線
594,湯島,32160,35.707589999999996,139.770015,東京地下鉄,9号線千代田線
595,溜池山王,105663,35.6726325,139.741445,東京地下鉄,7号線南北線
596,溝の口,193197,35.59934,139.60985,東京急行電鉄,田園都市線
597,滝不動,7328,35.73801,140.026285,新京成電鉄,新京成線
598,滝野川一丁目,2058,35.747299999999996,139.735415,東京都,荒川線
599,潮見,19790,35.658865000000006,139.81717,東日本旅客鉄道,京葉線
600,熊野前,11421,35.748712499999996,139.76960250000002,東京都,日暮里・舎人線
601,片倉町,20458,35.489999999999995,139.60643,横浜市,3号線
602,牛込柳町,19134,35.69946,139.72519,東京都,12号線大江戸線
603,牛込神楽坂,13581,35.700915,139.73604,東京都,12号線大江戸線
604,狛江,43031,35.631735,139.576805,小田急電鉄,小田原線
